,username,following,followers,retweetcount,text,date
77,ArdRiBarreK,3065,2583,3,@ArdRiBarreK @CookKCEgyptian @TweetsPamela @SimonJester007 @CheriC1 @canamman @YouTube @ladyred1956 @ret_cw3 @TrickOH @JungmanLaura @peacemomma67 @OB1_RNC @worldwidejp88 @BobMessenger3 @love_csa @ALOVEFarmer @AnWin15 Also tether ball🤣🤣🤣🤣 https://t.co/nr643Vj0H9,2021-12-22 18:24:17+00:00
78,gnoble79,2718,22468,1,"@GaryGensler When will you do your job and shut down the #crypto criminals?Counterfeiting of billions of tether, widespread rug pulls, vast manipulation and yet you do nothing. The #tether scam is the biggest Ponzi scheme in history and it is occurring on your watch.MAKE IT STOP! https://t.co/aL87uv6vOo https://t.co/QX2wrgl9U6",2010-11-07 19:34:23+00:00
79,Brandon28257199,321,793,0,"You wanna know when you're talking to a #Tether or #BlackForeign, is when they are talking about #colorism, #colonialism,#capitalism, and last #racism but in a #panafrican narrative.",2019-09-18 02:25:09+00:00
80,Steven_OEFvet,215,116,0,"Me just looking at my notifications:

""Cardano is down -5.7...""
""Shiba Inu is down -8.2...""
""Bitcoin is down -3.71...""
""Ethereum is down -6...""
""Cosmos is down -8.81...""
""Solana is down -6.12%...""
""Amp is down -9.18%...""
""Tether is up +0.01...%""
""Dogecoin is down 9.92%""

I get it",2013-07-22 17:18:42+00:00
81,Simple_D1,70,31,0,@BitcoinMagazine it will be interesting to observe how crypto companies like Tether come to the new markets,2015-08-16 02:00:13+00:00
82,Izsisu,742,897,460,"a fool thinks a longer tether means freedom.

something quick about the non-linear healing process of trauma https://t.co/UGNyuT07h4",2015-04-25 02:34:38+00:00
83,Simple_D1,70,31,0,@CryptoMichNL there are risks of another outburst of biased media agenda about BTC and Tether,2015-08-16 02:00:13+00:00
84,_REIGNMAN_,14554,25459,0,@Gg1Vance @riddles00 @BONTESA_ Everything isn’t tethered to tether! 💯,2009-09-02 04:17:42+00:00
85,Xoxxooxoxo33,78,33,26,"Luxury fashion brand off____white has begun accepting cryptocurrency payments including bitcoin, ether, binance coin, XRP, tether and Circle’s USDC in exchange for clothing and apparel across its flagship stores in P...| 👀 https://t.co/2zuKiBC1EF https://t.co/6HFR9skVVa",2022-02-28 17:06:55+00:00
86,F3Minii,306,350,13,An Arab tether kewn fuck him forever https://t.co/SFg6QNfp3i,2021-08-10 07:56:42+00:00
87,seeamays,5896,5618,68,"I call upon the courage
of a wildflower to
grow where it wills,

I call upon the charm of
the dogwood flower
to resurrect in me,
all that I need for me to love and live

I call upon the sage flower to
tether me to all that is light
so mote it be, so mote it be

#turningthephrase https://t.co/WS5V0gQSWn",2015-01-24 19:07:05+00:00
