,Unnamed: 0,username,following,followers,retweetcount,text,date,show
129,129,ChristianNnado5,1711,945,397,missed time nft > how to win a gas war on an nft drop 101 (as someone who wins 99 8% of them) stage 1 preparation > open the drop website on tab 1 > find and open the drop's contract on etherscan on tab 2 > open on tab 3 stage 2 minting a thread,2018-12-29 22:26:20+00:00,0
130,130,gratisan_master,2679,128,1623,if does not reach $50 00 by may 20th i will give $2 500 to one lucky follower eyes rocket like red_heart & follow rocket to enter,2020-07-10 14:38:17+00:00,0
131,131,MARIOAL71086360,404,34,122,"_eth bitcoin not crypto like a ""oh i'm really into bitcoins i love all the decentralized governance and daos happening there"" b ""which bitcoin is your favorite "" a ""oh i like solana also tezos the founder is a good guy french believes in anarchocapitalist stuff""",2012-05-07 03:51:25+00:00,0
132,132,Solsun8317,340,72,0,solsun found in a user vault at this location join me playing it is awesome,2022-01-19 04:15:10+00:00,1
133,133,cryptoauznet,70,91,1,fire sanctioned russian officials banned from full story backhand_index_pointing_down backhand_index_pointing_down,2014-08-06 10:31:09+00:00,0
134,134,FutureSae,364,88,0,at the time of correction leave the alticoins aside buy,2022-01-15 23:37:14+00:00,1
135,135,nj_tacp256,228,159,284,owning 1 is really something special make it your goal to be in this club,2015-10-12 23:00:08+00:00,0
136,136,TruthyMusic,5003,4011,917,charlie munger says bitcoin is “evil ” this coming from a guy who financed the drivers of rampant obesity and diabetes in american society i'll take math and software over processed sugar,2009-05-18 04:06:22+00:00,0
137,137,praisethesats,655,1124,0,every second solana is down i buy more bitcoin 1 sat per second,2021-09-07 21:28:34+00:00,0
138,138,Monicarodgers0,38,28,81,my guess is that we get a third maybe even a fourth country adopt as a legal tender this year tonga was almost certainly going to do it this year before the volcano messed their shit up hopefully they still move ahead with it,2022-04-28 00:25:09+00:00,1
139,139,Villatraxdoteth,442,130,270,so you mean to tell me i can send money from Central_African_Republic to my bro in El_Salvador without asking france or anyone for permission and with zero fees yes with fixes this beaming_face_with_smiling_eyes,2019-03-09 05:32:47+00:00,0
140,140,ONTHEBLOK_io,6984,6401,3,for new beginnings for new investors we go back to where we started think well research,2021-02-17 10:44:32+00:00,0
141,141,MeysamNil,501,430,5,_koka1 hey crocodile T-Rex are almost ready 2k first batch will exclusively be listed to marketplace celebrity manager over 40 celeb clients has joined our team is about to go parabolic hundred_points check_mark_button check_mark_button,2020-04-28 18:58:39+00:00,0
142,142,TaumKeoni,14,1,0,ktdogg found in a blue vault at this location join me playing it is awesome,2022-01-25 16:21:09+00:00,1
143,143,sterling12,400,71,917,charlie munger says bitcoin is “evil ” this coming from a guy who financed the drivers of rampant obesity and diabetes in american society i'll take math and software over processed sugar,2009-01-05 01:43:48+00:00,0
144,144,AJAYONER3,59,2,0,follow and check our account sis there will be interesting projects and airdrops every day from us keep the spirit and keep growing airdrop _new8,2022-03-24 20:11:46+00:00,1
145,145,tyskipper5,408,124,1,if does not close this weekly candle tomorrow above $39 500 give or take $100 it will be the first time in 7 5 years we have 5 consecutive red weekly candles since was $265 flushed_face grinning_face_with_sweat,2021-03-18 17:27:34+00:00,0
