,Unnamed: 0,username,following,followers,retweetcount,text,date,show
112,112,CWFNFT,473,1533,0,i just listed 2 items for sale via gem_stone collections ens ethereum name service lbi eth lbi eth label marketplaces looksrare x2y2,2011-10-24 16:17:46+00:00,0
113,113,yash73836,68,49,0,chart_decreasing chart_increasing crystal_ball i can show you n number of examples everyday 🪬 but yes there is method to the madness for catching tops and bottoms of the day,2022-02-27 05:12:30+00:00,1
114,114,MAYyourbigwinxx,4170,77,11400,explore phemex universe globe_showing_Europe-Africa and visit planet bitcoin ethereum sand and doge star-struck to collect your very own citizen phemex card flower_playing_cards grab your card and earn bonuses now downwards_button,2021-01-28 01:47:00+00:00,0
115,115,Ptmarciocosta,99,832,3,crypto and blockchain are genuine technological advancements and will definitely disrupt the current financial structure by disintermediating many of the holy cows of the system,2021-09-18 01:55:08+00:00,0
116,116,CYPNFT,12,8,2,coin just has more trade volume last 24hrs than and,2022-01-30 13:41:43+00:00,1
117,117,arora_pranjay,172,15,0,cdsl data of 4 39 crore demat accounts hacked | is your demat account safe hacking issue buy palantir like george soros not ethereum same bussiness OK_hand OK_hand all ads removed by,2021-04-18 11:02:19+00:00,0
118,118,QuantumFeg,680,429,0,loading every friday paycheck on feg technology laptop alien $feg,2021-12-01 11:55:09+00:00,0
119,119,zethisyellow,0,0,1,$100 | 1 400 00 idr in 1days rt follow pushpin pushpin,2022-04-30 23:36:06+00:00,1
120,120,zethisyellow,0,0,1,$100 | 1 400 00 idr in 1days rt follow pushpin pushpin,2022-04-30 23:36:06+00:00,1
121,121,stikman,600,20945,0,i mean if the solana network was not down they may see some upside movement due to the gas war that will commence on ethereum,2021-03-05 05:44:55+00:00,0
122,122,CYPNFT,12,8,2,coin just has more trade volume last 24hrs than and,2022-01-30 13:41:43+00:00,1
123,123,_CoffeeSnob_,1965,1756,59,how no big crypto youtuber is talking about digits 3 digits did 50x in 1 week 4 digits did 25x in 5 days this is bigger than the most successful so far no pr nor marketing pure organic community driven movement,2021-09-29 18:36:08+00:00,0
124,124,VNoah0221,5,2,1392,1/33 's largest FREE_button for all holders receive a 1 1 copy of your favorite token on a cheaper faster |,2021-12-18 05:18:20+00:00,0
